timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
9166,0.398,-0.04,0.956,-1.938,2.594,-7.385
9186,0.393,-0.039,0.958,-2.106,2.64,-7.37
9206,0.387,-0.046,0.959,-2.441,2.777,-7.431
9226,0.379,-0.048,0.961,-3.021,3.189,-7.08
9246,0.391,-0.043,0.968,-3.967,3.845,-5.936
9266,0.4,-0.03,0.974,-5.188,3.311,-4.593
9286,0.397,-0.024,0.964,-5.875,2.426,-3.51
9306,0.386,-0.029,0.95,-5.981,2.106,-3.128
9326,0.378,-0.035,0.944,-5.707,2.808,-2.884
9346,0.389,-0.033,0.933,-5.249,3.83,-3.006
9366,0.397,-0.028,0.943,-4.852,4.272,-2.975
9386,0.398,-0.025,0.956,-4.852,3.83,-3.021
9406,0.401,-0.027,0.958,-5.127,3.098,-3.265
9426,0.397,-0.024,0.956,-5.188,2.396,-3.494
9446,0.397,-0.011,0.954,-5.02,1.846,-3.448
9466,0.395,-0.001,0.947,-4.486,1.389,-2.533
9486,0.394,0.008,0.947,-3.799,1.068,-1.083
9506,0.392,0.008,0.947,-2.914,0.87,0.336
9526,0.386,-0.002,0.946,-2.06,0.595,1.053
9546,0.374,-0.021,0.949,-1.923,1.129,1.587
9566,0.381,-0.037,0.967,-2.518,1.74,1.266
9586,0.4,-0.036,0.964,-3.128,1.099,0.641
9606,0.395,-0.023,0.958,-3.677,-0.809,0.061
9626,0.379,-0.009,0.951,-3.86,-1.663,-0.305
9646,0.377,-0.007,0.945,-3.632,-1.16,-0.092
9666,0.379,-0.012,0.949,-3.342,-0.732,0.397
9686,0.38,-0.018,0.948,-3.159,-0.488,0.9
9706,0.377,-0.021,0.953,-3.265,-0.32,0.9
9726,0.382,-0.013,0.952,-3.418,-0.137,0.732
9746,0.383,-0.003,0.948,-3.006,-0.046,0.656
9766,0.382,0.005,0.95,-2.625,0.183,0.748
9786,0.389,0.002,0.951,-2.136,0.32,0.809
9862,0.416,-0.025,0.955,-3.281,-1.068,-1.709
9862,0.416,-0.025,0.955,-3.281,-1.068,-1.709
9863,0.417,-0.025,0.952,-3.326,-1.205,-1.892
9866,0.417,-0.025,0.952,-3.326,-1.205,-1.892
9886,0.413,-0.023,0.952,-3.815,-2.136,-2.93
9906,0.403,-0.022,0.945,-4.074,-2.594,-4.028
9926,0.399,-0.023,0.943,-4.044,-2.274,-4.501
9946,0.402,-0.023,0.943,-3.891,-1.709,-3.967
9966,0.405,-0.016,0.939,-4.013,-1.358,-3.723
9986,0.403,-0.015,0.941,-3.967,-0.992,-3.525
10006,0.402,-0.019,0.944,-3.86,-0.32,-3.632
10026,0.405,-0.019,0.937,-3.799,0.275,-3.494
10046,0.411,-0.019,0.941,-3.86,0.626,-3.189
10066,0.409,-0.014,0.943,-3.723,0.412,-2.625
10086,0.412,-0.014,0.949,-3.54,0.153,-2.365
10106,0.413,-0.021,0.955,-3.586,-0.641,-2.441
10126,0.411,-0.025,0.954,-3.967,-1.511,-2.945
10146,0.406,-0.022,0.945,-4.288,-1.633,-3.159
10166,0.405,-0.015,0.939,-4.456,-1.205,-3.143
