timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
107386,0.303,-0.019,0.982,-4.532,0.885,-3.784,diam
268189,0.086,-0.122,0.808,-14.282,-2.96,27.1,jalan
154869,0.131,-0.211,1.03,21.698,40.817,16.602,jalan
290429,0.201,0.067,1.169,3.189,23.163,-38.193,jalan
284406,0.263,-0.185,0.976,-2.823,0.656,-0.992,diam
78609,0.154,0.102,0.83,17.731,3.052,0.473,jalan
170169,0.435,-0.277,1.24,15.182,50.705,-0.198,jalan
27407,-0.582,-0.263,0.741,-26.459,-88.409,-115.952,jogging
191366,0.314,-0.025,0.974,-4.868,-0.793,-4.868,diam
172966,0.318,-0.021,0.979,-3.51,1.343,-0.87,diam
31727,-0.085,0.432,0.738,58.96,-26.047,-8.224,jogging
19847,0.067,0.326,0.053,8.865,4.654,-24.399,jogging
192526,0.354,-0.039,0.964,-4.303,-1.831,-2.487,diam
177486,0.33,-0.014,0.975,-3.159,-0.519,-0.656,diam
26107,1.057,-0.45,1.855,25.436,-118.729,-145.462,jogging
161346,0.336,-0.029,0.973,-2.289,1.678,0.961,diam
243547,-1.06,-0.01,1.212,-131.592,186.005,10.834,jogging
234266,0.312,-0.024,0.979,-3.006,0.87,-0.015,diam
214429,0.222,0.334,1.014,-7.919,-17.776,0.671,jalan
175807,0.023,0.033,0.657,81.802,-41.382,-28.595,jogging
47596,0.808,0.108,1.32,38.376,16.891,-6.653,jalan
16249,0.419,-0.061,0.862,-2.594,7.111,7.797,jalan
228883,0.162,0.255,0.208,-12.787,-84.549,59.036,jogging
290187,-0.544,0.56,1.001,74.036,-108.215,14.526,jogging
61046,0.294,-0.048,0.957,-14.954,-0.9,-10.529,diam
204529,0.405,-0.035,0.913,-0.549,-1.968,-4.852,jalan
112607,-0.667,-0.841,1.008,2.899,-153.061,-41.168,jogging
157127,1.054,0.095,2.453,-67.947,-26.993,151.398,jogging
233126,0.313,-0.021,0.974,-3.54,-0.595,-0.763,diam
237527,0.03,0.07,0.135,-34.744,-72.021,86.044,jogging
135107,-0.957,-0.57,1.328,69.016,94.345,-80.124,jogging
295187,0.202,-0.039,0.741,-71.96,-54.749,-3.799,jogging
78527,0.094,-0.338,0.507,26.703,-130.63,-59.28,jogging
271247,0.125,-0.13,0.423,-22.4,-30.502,-96.756,jogging
193527,0.124,0.285,0.005,4.028,36.942,-11.032,jogging
132808,0.361,-0.078,0.965,3.403,-21.622,5.127,jalan
283226,0.269,-0.195,0.973,-3.143,1.45,-0.565,diam
112729,0.054,-0.297,1.288,-40.649,-7.568,-8.728,jalan
287786,0.27,-0.187,0.977,-3.128,0.9,-0.305,diam
68614,0.338,-0.026,1.003,-30.35,-16.693,30.09,jalan
169986,0.318,-0.022,0.975,-3.677,0.565,-0.946,diam
25527,0.114,0.229,0.499,43.61,45.99,-16.418,jogging
131106,0.325,-0.026,0.969,-1.907,-0.229,0.229,diam
9566,0.381,-0.037,0.967,-2.518,1.74,1.266,diam
92726,0.229,-0.058,0.988,-7.675,15.076,-15.244,diam
252349,-0.027,-0.128,0.951,6.287,2.075,-1.312,jalan
194889,0.496,-0.019,0.969,-20.233,11.642,-12.436,jalan
286769,0.088,-0.001,0.741,14.633,-5.127,-9.979,jalan
25229,0.214,-0.083,1.37,14.465,-16.19,-20.859,jalan
209087,0.054,-1.007,1.626,37.003,214.859,-141.983,jogging
7186,0.379,-0.003,0.956,-0.87,2.991,3.387,diam
18267,0.183,0.048,0.232,-32.242,-37.476,57.159,jogging
296769,0.239,0.13,1.264,3.143,-15.366,-42.587,jalan
158427,-0.278,0.38,0.51,-0.977,-108.078,106.125,jogging
114367,-0.444,-0.613,1.196,61.569,90.805,-89.478,jogging
215989,-0.024,-0.109,1.112,14.999,-26.367,25.62,jalan
142847,-0.493,0.406,0.682,29.037,-103.958,64.545,jogging
225069,0.11,-0.024,0.919,27.1,-26.398,-19.989,jalan
284947,0.018,0.237,0.09,12.68,10.59,-42.068,jogging
191026,0.314,-0.018,0.977,-4.868,-0.198,-4.807,diam
257069,0.099,0.054,0.872,14.099,-22.4,-18.967,jalan
159589,0.398,-0.09,1.019,-1.923,-29.831,-2.731,jalan
20767,0.283,0.277,1.018,78.4,-54.214,-13.992,jogging
174269,0.293,-0.049,0.857,-7.889,9.964,-15.671,jalan
163366,0.34,-0.022,0.976,-3.082,0.183,-0.381,diam
148947,3.37,0.602,3.603,76.416,177.872,-236.42,jogging
227466,0.332,-0.126,1.017,1.19,2.716,3.036,diam
190266,0.316,-0.012,0.985,-3.571,0.748,-0.336,diam
